jeonse_ratio,debt_ratio,building_age,risk_label
0.7890285644226716,0.4724037768758531,13,0
0.9264361370226044,0.22802757670408713,4,1
0.9201403882383777,0.2093946868064224,9,1
0.6652173821654987,0.2149573723701872,21,0
0.7428248623197982,0.7577440151277623,4,0
0.8404677207859115,0.29701402724926895,8,0
1.0177157241317767,0.031698192997845265,20,1
0.7784565409252682,0.629489383527269,28,0
0.9630795873395723,0.3183381737229186,24,0
0.9492157494128683,0.03165753762444119,25,0
0.623655407236062,0.2026963348151803,9,0
0.9485561719033936,0.42146419143205915,19,1
1.0399958531260403,0.34956358236517704,22,0
0.8895859387482945,0.44334190184837996,20,1
0.6316844328262887,0.3217571058056673,8,1
1.0606914518241042,0.1284779427599454,12,0
1.0466045673744016,0.38336168166351836,14,0
0.7563176174435822,0.471013451193627,19,1
0.6125853361855885,0.43581952306953,4,0
0.726412628982259,0.4132250730925601,19,1
0.8228049565545057,0.25734333399627735,16,1
1.03726120812449,0.6965057966019493,20,0
0.8791124787591345,0.6861204640154182,25,0
0.6368128237821238,0.5024032382958755,25,1
0.8351712350147562,0.5490014875021191,10,0
0.8373548328737179,0.06031682264431533,28,0
0.7162579455888323,0.23655949822836908,3,1
0.8226799368251063,0.5721302810942878,21,0
0.718623258902061,0.640568856007661,2,0
0.9734496703931564,0.03234251490767877,14,0
0.8835369062455178,0.0504471996783753,2,1
0.7744395899721043,0.22036377533700371,4,1
0.6747058460792903,0.5444218960195081,26,0
0.6732800478782031,0.3116116008097516,3,1
0.8073622359569792,0.15942575292380248,11,1
0.6281206973713174,0.5158925976663796,18,0
0.7350011680453259,0.5606468636799132,15,1
0.6345543516181577,0.4047195210031337,25,1
0.980863087403488,0.2785091582043503,15,0
1.092179238169451,0.529877099259927,4,0
1.082687039971979,0.10233100761352461,22,0
0.8268488382272376,0.7337561565118018,21,1
0.8368744706200025,0.36377099693595727,7,0
0.8621210303109538,0.539224156595393,26,0
0.6582895669781341,0.5325618129733852,14,1
0.7132862867730299,0.13829277346050936,24,1
0.6549977913338676,0.5060725065412964,14,0
0.8709794642544713,0.07051854617468721,14,0
1.033200061938706,0.05221488121744882,25,1
0.9496383224306716,0.15227677521099414,21,1
0.8612009121700595,0.08293097393286814,14,1
0.7453830622071209,0.47715684600111574,29,1
1.0397968420246988,0.5267178099867551,18,0
0.7919510340159548,0.7695555419258154,11,1
1.0613599452053415,0.0955172994948515,20,0
0.8570861789025936,0.6254154768959304,5,1
1.0086466207673914,0.5290868179891824,21,1
0.6328446617903773,0.693186501216118,19,0
0.7179424728209418,0.7714250993518772,6,0
0.6476375318218319,0.0652531496307197,17,0
0.7249808588495927,0.48989728851719355,22,1
0.6406050523409075,0.5537894721756428,26,0
1.0348829343758599,0.3355379315883057,12,1
1.0201981832194715,0.5876794062713131,22,1
1.0964283748637853,0.6442484995775262,18,0
1.042322204176526,0.00012566432628471346,17,1
0.7535244116219055,0.2519217469112536,11,1
0.6043287722946253,0.34172014878422846,28,1
0.7134362026464294,0.44606436469315175,20,1
1.0116511016062861,0.6305591276279089,1,1
0.7031034874962068,0.003016941038894938,22,1
0.8154469408052324,0.45091118902332283,2,0
1.068864930855241,0.6967979917183447,1,1
0.6076749864922548,0.49393985360154524,17,0
0.8743959121769875,0.36065161139784313,14,1
0.7993277672948387,0.5417301681743728,2,1
1.0823978246229615,0.07398676453214552,0,1
1.01623752621916,0.4082464956977441,2,1
0.9902458505996342,0.6022067923432142,22,1
0.7854715167454227,0.3311431419317523,8,0
0.6432189820470033,0.7072860743886982,9,1
0.9729873655223893,0.36512898973276464,12,1
0.7994444354535635,0.6360360465071575,17,1
0.9770802849376694,0.6860388951600984,5,1
1.0026445486556088,0.6122934731433568,5,1
0.893168213431093,0.22569283986878333,14,1
0.9301347197575016,0.7897482576551265,18,0
0.9264961265852564,0.30226628166206737,14,1
0.9211173210974493,0.733133679999623,29,1
0.6267183210671479,0.3191855301431741,4,1
0.8533543108590249,0.5501681442113809,19,0
0.9546534918323898,0.4948228695319796,19,0
0.7877488874410035,0.6882944526759021,13,0
1.0229482820978124,0.5423292455782344,20,0
0.8092717334873054,0.39759701086678395,27,0
0.7100604118408076,0.09669078015225603,24,1
0.8663107294712568,0.2461605470862086,5,1
0.8538040770567126,0.29823584746431797,7,1
0.965072077738208,0.23527438562668765,11,1
1.0366746065149384,0.3576046273123524,20,1
